feature,mean_abs_shap,std_abs_shap,max_abs_shap,sum_abs_shap,num_folds_present
S100A16 (140576),2.191090682560086e-05,,2.191090682560086e-05,2.191090682560086e-05,1
LAMB2 (3913),2.1903604507161525e-05,,2.1903604507161525e-05,2.1903604507161525e-05,1
ADM (133),2.1874812103231706e-05,,2.1874812103231706e-05,2.1874812103231706e-05,1
QPRT (23475),2.183411210425552e-05,,2.183411210425552e-05,2.183411210425552e-05,1
CEACAM6 (4680),2.180809566566207e-05,,2.180809566566207e-05,2.180809566566207e-05,1
CTSH (1512),2.1742995277228186e-05,,2.1742995277228186e-05,2.1742995277228186e-05,1
MANSC1 (54682),2.169493356204517e-05,,2.169493356204517e-05,2.169493356204517e-05,1
ADGRG6 (57211),2.1619130901630695e-05,,2.1619130901630695e-05,2.1619130901630695e-05,1
BOK (666),2.158622397705884e-05,,2.158622397705884e-05,2.158622397705884e-05,1
BCHE (590),2.152778277011346e-05,,2.152778277011346e-05,2.152778277011346e-05,1
CXADR (1525),2.14430761733309e-05,,2.14430761733309e-05,2.14430761733309e-05,1
SPP1 (6696),2.1368193296033482e-05,,2.1368193296033482e-05,2.1368193296033482e-05,1
SLC2A3 (6515),2.136798626095016e-05,,2.136798626095016e-05,2.136798626095016e-05,1
HDGFL3 (50810),2.1364203320217776e-05,,2.1364203320217776e-05,2.1364203320217776e-05,1
ARHGAP9 (64333),2.1349604692133038e-05,,2.1349604692133038e-05,2.1349604692133038e-05,1
TUBA1A (7846),2.125818126275004e-05,,2.125818126275004e-05,2.125818126275004e-05,1
RAB3B (5865),2.1243891420382686e-05,,2.1243891420382686e-05,2.1243891420382686e-05,1
CHN1 (1123),2.121395903462498e-05,,2.121395903462498e-05,2.121395903462498e-05,1
TPD52L1 (7164),2.116816803064477e-05,,2.116816803064477e-05,2.116816803064477e-05,1
PLXND1 (23129),2.11526211062341e-05,,2.11526211062341e-05,2.11526211062341e-05,1
FAM107B (83641),2.110552336037804e-05,,2.110552336037804e-05,2.110552336037804e-05,1
PMP22 (5376),2.102331288450682e-05,,2.102331288450682e-05,2.102331288450682e-05,1
CBR1 (873),2.1009431328100025e-05,,2.1009431328100025e-05,2.1009431328100025e-05,1
PPP1R14A (94274),2.093335323521234e-05,,2.093335323521234e-05,2.093335323521234e-05,1
ENG (2022),2.0910480951596103e-05,,2.0910480951596103e-05,2.0910480951596103e-05,1
SPTBN2 (6712),2.0856058730413082e-05,,2.0856058730413082e-05,2.0856058730413082e-05,1
EFNA1 (1942),2.081918274285086e-05,,2.081918274285086e-05,2.081918274285086e-05,1
NSG1 (27065),2.0657785569769996e-05,,2.0657785569769996e-05,2.0657785569769996e-05,1
SERPINE1 (5054),2.064263050264627e-05,,2.064263050264627e-05,2.064263050264627e-05,1
EPHA1 (2041),2.060330876071917e-05,,2.060330876071917e-05,2.060330876071917e-05,1
DSP (1832),2.0538685432906616e-05,,2.0538685432906616e-05,2.0538685432906616e-05,1
C6orf141 (135398),2.0488546474716943e-05,,2.0488546474716943e-05,2.0488546474716943e-05,1
FILIP1L (11259),2.0423214317216068e-05,,2.0423214317216068e-05,2.0423214317216068e-05,1
BMP4 (652),2.040467530394381e-05,,2.040467530394381e-05,2.040467530394381e-05,1
MSLN (10232),2.033014727855914e-05,,2.033014727855914e-05,2.033014727855914e-05,1
PYGL (5836),2.0237198745383055e-05,,2.0237198745383055e-05,2.0237198745383055e-05,1
TMEM184A (202915),2.0182982446821095e-05,,2.0182982446821095e-05,2.0182982446821095e-05,1
FRMD4A (55691),2.0120518512956442e-05,,2.0120518512956442e-05,2.0120518512956442e-05,1
C3 (718),2.0022860865983414e-05,,2.0022860865983414e-05,2.0022860865983414e-05,1
TNFAIP2 (7127),2.00168977767293e-05,,2.00168977767293e-05,2.00168977767293e-05,1
DLK1 (8788),1.9991691022133028e-05,,1.9991691022133028e-05,1.9991691022133028e-05,1
SPINT2 (10653),1.9963516222244694e-05,,1.9963516222244694e-05,1.9963516222244694e-05,1
